question,answer,answer_gemma2b_hybrid
"Which pizza company is located farther south in California, Pizza My Heart or Zpizza?","zpizza (originally called z pizza and commonly known as z) is a pizza franchise based in Newport Beach, California",The context does not provide sufficient information to answer the question.
What kind of church does James Thomas play at?,Anglican,The context does not provide sufficient information to answer the question.
Where is the United Kingdom's largest indoor water park located?,"Blackpool, Lancashire, England",The context does not provide sufficient information to answer the question.
"Approximately how deep is the deepest point of the body of water on the north end of which Somesville, Maine is located?",175 ft,The context does not provide sufficient information to answer the question.
Fruit Gushers are produced by General Mills under a brand name represented by a character that was originally created by what company?,Washburn-Crosby Company,The context does not provide sufficient information to answer the question.
"Which Linkin Park studio album featured the songs ""Halfway Right"" and ""Heavy""?",One More Light,The context does not provide sufficient information to answer the question.
Notable planes made at Woodford Aerodrome include what British four-engined Second World War heavy bomber?,Avro Lancaster,The context does not provide sufficient information to answer the question.
What city is the company that funds Tekzilla based in?,San Francisco,The context does not provide sufficient information to answer the question.
Leon Gillis and Freddy Heineken met in this year.,1963-64,The context does not provide sufficient information to answer the question.
The Franco-Siamese War was a conflict that included the system of government adopted in France in what year?,1870,The context does not provide sufficient information to answer the question.
Efrem Flaks was the original performer of songs composed by which other Soviet film composer?,Matvei Isaakovich Blanter,The context does not provide sufficient information to answer the question.
